(7, 17),N,{(7, 19): 0.2, (7, 18): 0.8}
(3, 15),W,{(1, 15): 0.2, (2, 15): 0.8}
(14, 15),N,{(14, 17): 0.2, (14, 16): 0.8}
(14, 15),S,{(14, 13): 0.2, (14, 14): 0.8}
(14, 15),E,{(16, 15): 0.2, (15, 15): 0.8}
(14, 15),W,{(12, 15): 0.2, (13, 15): 0.8}
(15, 7),N,{(15, 9): 0.2, (15, 8): 0.8}
(15, 7),S,{(15, 5): 0.2, (15, 6): 0.8}
(15, 7),E,{(17, 7): 0.2, (16, 7): 0.8}
(15, 7),W,{(13, 7): 0.2, (14, 7): 0.8}
(7, 3),N,{(7, 5): 0.2, (7, 4): 0.8}
(7, 3),S,{(7, 1): 0.2, (7, 2): 0.8}
(7, 3),E,{(9, 3): 0.2, (8, 3): 0.8}
(7, 3),W,{(5, 3): 0.2, (6, 3): 0.8}
(18, 3),N,{(18, 5): 0.2, (18, 4): 0.8}
(18, 3),S,{(18, 1): 0.2, (18, 2): 0.8}
(18, 3),E,{(20, 3): 0.2, (19, 3): 0.8}
(18, 3),W,{(16, 3): 0.2, (17, 3): 0.8}
(15, 16),N,{(15, 18): 0.2, (15, 17): 0.8}
(15, 16),S,{(15, 14): 0.2, (15, 15): 0.8}
(15, 16),E,{(17, 16): 0.2, (16, 16): 0.8}
(15, 16),W,{(13, 16): 0.2, (14, 16): 0.8}
(7, 12),N,{(7, 14): 0.2, (7, 13): 0.8}
(7, 12),S,{(7, 10): 0.2, (7, 11): 0.8}
(7, 12),E,{(9, 12): 0.2, (8, 12): 0.8}
(7, 12),W,{(5, 12): 0.2, (6, 12): 0.8}
(18, 12),N,{(18, 14): 0.2, (18, 13): 0.8}
(18, 12),S,{(18, 10): 0.2, (18, 11): 0.8}
(18, 12),E,{(20, 12): 0.2, (19, 12): 0.8}
(18, 12),W,{(16, 12): 0.2, (17, 12): 0.8}
(8, 4),N,{(8, 6): 0.2, (8, 5): 0.8}
(8, 4),S,{(8, 2): 0.2, (8, 3): 0.8}
(8, 4),E,{(10, 4): 0.2, (9, 4): 0.8}
(8, 4),W,{(6, 4): 0.2, (7, 4): 0.8}
(19, 4),N,{(19, 6): 0.2, (19, 5): 0.8}
(19, 4),S,{(19, 2): 0.2, (19, 3): 0.8}
(19, 4),E,{(20, 4): 1.0}
(19, 4),W,{(17, 4): 0.2, (18, 4): 0.8}
(0, 0),N,{(0, 2): 0.2, (0, 1): 0.8}
(0, 0),E,{(2, 0): 0.2, (1, 0): 0.8}
(0, 0),S,{(0, 0): 1}
(0, 0),W,{(0, 0): 1}
(11, 0),N,{(11, 2): 0.2, (11, 1): 0.8}
(11, 0),E,{(13, 0): 0.2, (12, 0): 0.8}
(11, 0),W,{(9, 0): 0.2, (10, 0): 0.8}
(11, 0),S,{(11, 0): 1}
(0, 9),N,{(0, 11): 0.2, (0, 10): 0.8}
(0, 9),S,{(0, 7): 0.2, (0, 8): 0.8}
(0, 9),E,{(2, 9): 0.2, (1, 9): 0.8}
(0, 9),W,{(0, 9): 1}
(11, 9),N,{(11, 11): 0.2, (11, 10): 0.8}
(11, 9),S,{(11, 7): 0.2, (11, 8): 0.8}
(11, 9),E,{(13, 9): 0.2, (12, 9): 0.8}
(11, 9),W,{(9, 9): 0.2, (10, 9): 0.8}
(3, 1),N,{(3, 3): 0.2, (3, 2): 0.8}
(3, 1),S,{(3, 0): 1.0}
(3, 1),E,{(5, 1): 0.2, (4, 1): 0.8}
(3, 1),W,{(1, 1): 0.2, (2, 1): 0.8}
(14, 1),N,{(14, 3): 0.2, (14, 2): 0.8}
(14, 1),S,{(14, 0): 1.0}
(14, 1),E,{(16, 1): 0.2, (15, 1): 0.8}
(14, 1),W,{(12, 1): 0.2, (13, 1): 0.8}
(3, 10),N,{(3, 12): 0.2, (3, 11): 0.8}
(3, 10),S,{(3, 8): 0.2, (3, 9): 0.8}
(3, 10),E,{(5, 10): 0.2, (4, 10): 0.8}
(3, 10),W,{(1, 10): 0.2, (2, 10): 0.8}
(14, 10),N,{(14, 12): 0.2, (14, 11): 0.8}
(14, 10),S,{(14, 8): 0.2, (14, 9): 0.8}
(14, 10),E,{(16, 10): 0.2, (15, 10): 0.8}
(14, 10),W,{(12, 10): 0.2, (13, 10): 0.8}
(3, 19),N,{(3, 20): 1.0}
(3, 19),S,{(3, 17): 0.2, (3, 18): 0.8}
(3, 19),E,{(5, 19): 0.2, (4, 19): 0.8}
(3, 19),W,{(1, 19): 0.2, (2, 19): 0.8}
(14, 19),N,{(14, 20): 1.0}
(14, 19),S,{(14, 17): 0.2, (14, 18): 0.8}
(14, 19),E,{(16, 19): 0.2, (15, 19): 0.8}
(14, 19),W,{(12, 19): 0.2, (13, 19): 0.8}
(15, 2),N,{(15, 4): 0.2, (15, 3): 0.8}
(15, 2),S,{(15, 0): 0.2, (15, 1): 0.8}
(15, 2),E,{(17, 2): 0.2, (16, 2): 0.8}
(15, 2),W,{(13, 2): 0.2, (14, 2): 0.8}
(15, 11),N,{(15, 13): 0.2, (15, 12): 0.8}
(15, 11),S,{(15, 9): 0.2, (15, 10): 0.8}
(15, 11),E,{(17, 11): 0.2, (16, 11): 0.8}
(15, 11),W,{(13, 11): 0.2, (14, 11): 0.8}
(7, 7),N,{(7, 9): 0.2, (7, 8): 0.8}
(7, 7),S,{(7, 5): 0.2, (7, 6): 0.8}
(7, 7),E,{(9, 7): 0.2, (8, 7): 0.8}
(7, 7),W,{(5, 7): 0.2, (6, 7): 0.8}
(18, 7),N,{(18, 9): 0.2, (18, 8): 0.8}
(18, 7),S,{(18, 5): 0.2, (18, 6): 0.8}
(18, 7),E,{(20, 7): 0.2, (19, 7): 0.8}
(18, 7),W,{(16, 7): 0.2, (17, 7): 0.8}
(7, 16),N,{(7, 18): 0.2, (7, 17): 0.8}
(7, 16),S,{(7, 14): 0.2, (7, 15): 0.8}
(7, 16),E,{(9, 16): 0.2, (8, 16): 0.8}
(7, 16),W,{(5, 16): 0.2, (6, 16): 0.8}
(18, 16),N,{(18, 18): 0.2, (18, 17): 0.8}
(18, 16),S,{(18, 14): 0.2, (18, 15): 0.8}
(18, 16),E,{(20, 16): 0.2, (19, 16): 0.8}
(18, 16),W,{(16, 16): 0.2, (17, 16): 0.8}
(11, 4),N,{(11, 6): 0.2, (11, 5): 0.8}
(11, 4),S,{(11, 2): 0.2, (11, 3): 0.8}
(11, 4),E,{(13, 4): 0.2, (12, 4): 0.8}
(11, 4),W,{(9, 4): 0.2, (10, 4): 0.8}
(10, 8),N,{(10, 10): 0.2, (10, 9): 0.8}
(10, 8),S,{(10, 6): 0.2, (10, 7): 0.8}
(10, 8),E,{(12, 8): 0.2, (11, 8): 0.8}
(10, 8),W,{(8, 8): 0.2, (9, 8): 0.8}
(10, 17),N,{(10, 19): 0.2, (10, 18): 0.8}
(10, 17),S,{(10, 15): 0.2, (10, 16): 0.8}
(10, 17),E,{(12, 17): 0.2, (11, 17): 0.8}
(10, 17),W,{(8, 17): 0.2, (9, 17): 0.8}
(2, 13),N,{(2, 15): 0.2, (2, 14): 0.8}
(2, 13),S,{(2, 11): 0.2, (2, 12): 0.8}
(2, 13),E,{(4, 13): 0.2, (3, 13): 0.8}
(2, 13),W,{(0, 13): 0.2, (1, 13): 0.8}
(3, 5),N,{(3, 7): 0.2, (3, 6): 0.8}
(3, 5),S,{(3, 3): 0.2, (3, 4): 0.8}
(3, 5),E,{(5, 5): 0.2, (4, 5): 0.8}
(3, 5),W,{(1, 5): 0.2, (2, 5): 0.8}
(14, 5),N,{(14, 7): 0.2, (14, 6): 0.8}
(14, 5),S,{(14, 3): 0.2, (14, 4): 0.8}
(14, 5),E,{(16, 5): 0.2, (15, 5): 0.8}
(14, 5),W,{(12, 5): 0.2, (13, 5): 0.8}
(3, 14),N,{(3, 16): 0.2, (3, 15): 0.8}
(3, 14),S,{(3, 12): 0.2, (3, 13): 0.8}
(3, 14),E,{(5, 14): 0.2, (4, 14): 0.8}
(3, 14),W,{(1, 14): 0.2, (2, 14): 0.8}
(14, 14),N,{(14, 16): 0.2, (14, 15): 0.8}
(14, 14),S,{(14, 12): 0.2, (14, 13): 0.8}
(14, 14),E,{(16, 14): 0.2, (15, 14): 0.8}
(14, 14),W,{(12, 14): 0.2, (13, 14): 0.8}
(15, 6),N,{(15, 8): 0.2, (15, 7): 0.8}
(15, 6),S,{(15, 4): 0.2, (15, 5): 0.8}
(15, 6),E,{(17, 6): 0.2, (16, 6): 0.8}
(15, 6),W,{(13, 6): 0.2, (14, 6): 0.8}
(7, 2),N,{(7, 4): 0.2, (7, 3): 0.8}
(7, 2),S,{(7, 0): 0.2, (7, 1): 0.8}
(7, 2),E,{(9, 2): 0.2, (8, 2): 0.8}
(7, 2),W,{(5, 2): 0.2, (6, 2): 0.8}
(18, 2),N,{(18, 4): 0.2, (18, 3): 0.8}
(18, 2),S,{(18, 0): 0.2, (18, 1): 0.8}
(18, 2),E,{(20, 2): 0.2, (19, 2): 0.8}
(18, 2),W,{(16, 2): 0.2, (17, 2): 0.8}
(7, 11),N,{(7, 13): 0.2, (7, 12): 0.8}
(7, 11),S,{(7, 9): 0.2, (7, 10): 0.8}
(7, 11),E,{(9, 11): 0.2, (8, 11): 0.8}
(7, 11),W,{(5, 11): 0.2, (6, 11): 0.8}
(18, 11),N,{(18, 13): 0.2, (18, 12): 0.8}
(18, 11),S,{(18, 9): 0.2, (18, 10): 0.8}
(18, 11),E,{(20, 11): 0.2, (19, 11): 0.8}
(18, 11),W,{(16, 11): 0.2, (17, 11): 0.8}
(6, 15),N,{(6, 17): 0.2, (6, 16): 0.8}
(6, 15),S,{(6, 13): 0.2, (6, 14): 0.8}
(6, 15),E,{(8, 15): 0.2, (7, 15): 0.8}
(6, 15),W,{(4, 15): 0.2, (5, 15): 0.8}
(10, 3),N,{(10, 5): 0.2, (10, 4): 0.8}
(10, 3),S,{(10, 1): 0.2, (10, 2): 0.8}
(10, 3),E,{(12, 3): 0.2, (11, 3): 0.8}
(10, 3),W,{(8, 3): 0.2, (9, 3): 0.8}
(10, 12),N,{(10, 14): 0.2, (10, 13): 0.8}
(10, 12),S,{(10, 10): 0.2, (10, 11): 0.8}
(10, 12),E,{(12, 12): 0.2, (11, 12): 0.8}
(10, 12),W,{(8, 12): 0.2, (9, 12): 0.8}
(2, 8),N,{(2, 10): 0.2, (2, 9): 0.8}
(2, 8),S,{(2, 6): 0.2, (2, 7): 0.8}
(2, 8),E,{(4, 8): 0.2, (3, 8): 0.8}
(2, 8),W,{(0, 8): 0.2, (1, 8): 0.8}
(2, 17),N,{(2, 19): 0.2, (2, 18): 0.8}
(2, 17),S,{(2, 15): 0.2, (2, 16): 0.8}
(2, 17),E,{(4, 17): 0.2, (3, 17): 0.8}
(2, 17),W,{(0, 17): 0.2, (1, 17): 0.8}
(3, 0),N,{(3, 2): 0.2, (3, 1): 0.8}
(3, 0),E,{(5, 0): 0.2, (4, 0): 0.8}
(3, 0),W,{(1, 0): 0.2, (2, 0): 0.8}
(3, 0),S,{(3, 0): 1}
(14, 0),N,{(14, 2): 0.2, (14, 1): 0.8}
(14, 0),E,{(16, 0): 0.2, (15, 0): 0.8}
(14, 0),W,{(12, 0): 0.2, (13, 0): 0.8}
(14, 0),S,{(14, 0): 1}
(3, 9),N,{(3, 11): 0.2, (3, 10): 0.8}
(3, 9),S,{(3, 7): 0.2, (3, 8): 0.8}
(3, 9),E,{(5, 9): 0.2, (4, 9): 0.8}
(3, 9),W,{(1, 9): 0.2, (2, 9): 0.8}
(14, 9),N,{(14, 11): 0.2, (14, 10): 0.8}
(14, 9),S,{(14, 7): 0.2, (14, 8): 0.8}
(14, 9),E,{(16, 9): 0.2, (15, 9): 0.8}
(14, 9),W,{(12, 9): 0.2, (13, 9): 0.8}
(3, 18),N,{(3, 20): 0.2, (3, 19): 0.8}
(3, 18),S,{(3, 16): 0.2, (3, 17): 0.8}
(3, 18),E,{(5, 18): 0.2, (4, 18): 0.8}
(3, 18),W,{(1, 18): 0.2, (2, 18): 0.8}
(14, 18),N,{(14, 20): 0.2, (14, 19): 0.8}
(14, 18),S,{(14, 16): 0.2, (14, 17): 0.8}
(14, 18),E,{(16, 18): 0.2, (15, 18): 0.8}
(14, 18),W,{(12, 18): 0.2, (13, 18): 0.8}
(17, 20),S,{(17, 18): 0.2, (17, 19): 0.8}
(17, 20),E,{(19, 20): 0.2, (18, 20): 0.8}
(17, 20),W,{(15, 20): 0.2, (16, 20): 0.8}
(17, 20),N,{(17, 20): 1}
(6, 10),N,{(6, 12): 0.2, (6, 11): 0.8}
(6, 10),S,{(6, 8): 0.2, (6, 9): 0.8}
(6, 10),E,{(8, 10): 0.2, (7, 10): 0.8}
(6, 10),W,{(4, 10): 0.2, (5, 10): 0.8}
(6, 19),N,{(6, 20): 1.0}
(6, 19),S,{(6, 17): 0.2, (6, 18): 0.8}
(6, 19),E,{(8, 19): 0.2, (7, 19): 0.8}
(6, 19),W,{(4, 19): 0.2, (5, 19): 0.8}
(10, 7),N,{(10, 9): 0.2, (10, 8): 0.8}
(10, 7),S,{(10, 5): 0.2, (10, 6): 0.8}
(10, 7),E,{(12, 7): 0.2, (11, 7): 0.8}
(10, 7),W,{(8, 7): 0.2, (9, 7): 0.8}
(2, 3),N,{(2, 5): 0.2, (2, 4): 0.8}
(2, 3),S,{(2, 1): 0.2, (2, 2): 0.8}
(2, 3),E,{(4, 3): 0.2, (3, 3): 0.8}
(2, 3),W,{(0, 3): 0.2, (1, 3): 0.8}
(10, 16),N,{(10, 18): 0.2, (10, 17): 0.8}
(10, 16),S,{(10, 14): 0.2, (10, 15): 0.8}
(10, 16),E,{(12, 16): 0.2, (11, 16): 0.8}
(10, 16),W,{(8, 16): 0.2, (9, 16): 0.8}
(2, 12),N,{(2, 14): 0.2, (2, 13): 0.8}
(2, 12),S,{(2, 10): 0.2, (2, 11): 0.8}
(2, 12),E,{(4, 12): 0.2, (3, 12): 0.8}
(2, 12),W,{(0, 12): 0.2, (1, 12): 0.8}
(3, 4),N,{(3, 6): 0.2, (3, 5): 0.8}
(3, 4),S,{(3, 2): 0.2, (3, 3): 0.8}
(3, 4),E,{(5, 4): 0.2, (4, 4): 0.8}
(3, 4),W,{(1, 4): 0.2, (2, 4): 0.8}
(14, 4),N,{(14, 6): 0.2, (14, 5): 0.8}
(14, 4),S,{(14, 2): 0.2, (14, 3): 0.8}
(14, 4),E,{(16, 4): 0.2, (15, 4): 0.8}
(14, 4),W,{(12, 4): 0.2, (13, 4): 0.8}
(17, 6),N,{(17, 8): 0.2, (17, 7): 0.8}
(17, 6),S,{(17, 4): 0.2, (17, 5): 0.8}
(17, 6),E,{(19, 6): 0.2, (18, 6): 0.8}
(17, 6),W,{(15, 6): 0.2, (16, 6): 0.8}
(17, 15),N,{(17, 17): 0.2, (17, 16): 0.8}
(17, 15),S,{(17, 13): 0.2, (17, 14): 0.8}
(17, 15),E,{(19, 15): 0.2, (18, 15): 0.8}
(17, 15),W,{(15, 15): 0.2, (16, 15): 0.8}
(9, 11),N,{(9, 13): 0.2, (9, 12): 0.8}
(9, 11),S,{(9, 9): 0.2, (9, 10): 0.8}
(9, 11),E,{(11, 11): 0.2, (10, 11): 0.8}
(9, 11),W,{(7, 11): 0.2, (8, 11): 0.8}
(9, 20),S,{(9, 18): 0.2, (9, 19): 0.8}
(9, 20),E,{(11, 20): 0.2, (10, 20): 0.8}
(9, 20),W,{(7, 20): 0.2, (8, 20): 0.8}
(9, 20),N,{(9, 20): 1}
(6, 5),N,{(6, 7): 0.2, (6, 6): 0.8}
(6, 5),S,{(6, 3): 0.2, (6, 4): 0.8}
(6, 5),E,{(8, 5): 0.2, (7, 5): 0.8}
(6, 5),W,{(4, 5): 0.2, (5, 5): 0.8}
(6, 14),N,{(6, 16): 0.2, (6, 15): 0.8}
(6, 14),S,{(6, 12): 0.2, (6, 13): 0.8}
(6, 14),E,{(8, 14): 0.2, (7, 14): 0.8}
(6, 14),W,{(4, 14): 0.2, (5, 14): 0.8}
(10, 2),N,{(10, 4): 0.2, (10, 3): 0.8}
(10, 2),S,{(10, 0): 0.2, (10, 1): 0.8}
(10, 2),E,{(12, 2): 0.2, (11, 2): 0.8}
(10, 2),W,{(8, 2): 0.2, (9, 2): 0.8}
(10, 11),N,{(10, 13): 0.2, (10, 12): 0.8}
(10, 11),S,{(10, 9): 0.2, (10, 10): 0.8}
(10, 11),E,{(12, 11): 0.2, (11, 11): 0.8}
(10, 11),W,{(8, 11): 0.2, (9, 11): 0.8}
(2, 7),N,{(2, 9): 0.2, (2, 8): 0.8}
(2, 7),S,{(2, 5): 0.2, (2, 6): 0.8}
(2, 7),E,{(4, 7): 0.2, (3, 7): 0.8}
(2, 7),W,{(0, 7): 0.2, (1, 7): 0.8}
(2, 16),N,{(2, 18): 0.2, (2, 17): 0.8}
(2, 16),S,{(2, 14): 0.2, (2, 15): 0.8}
(2, 16),E,{(4, 16): 0.2, (3, 16): 0.8}
(2, 16),W,{(0, 16): 0.2, (1, 16): 0.8}
(13, 13),N,{(13, 15): 0.2, (13, 14): 0.8}
(13, 13),S,{(13, 11): 0.2, (13, 12): 0.8}
(13, 13),E,{(15, 13): 0.2, (14, 13): 0.8}
(13, 13),W,{(11, 13): 0.2, (12, 13): 0.8}
(16, 18),N,{(16, 20): 0.2, (16, 19): 0.8}
(16, 18),S,{(16, 16): 0.2, (16, 17): 0.8}
(16, 18),E,{(18, 18): 0.2, (17, 18): 0.8}
(16, 18),W,{(14, 18): 0.2, (15, 18): 0.8}
(17, 1),N,{(17, 3): 0.2, (17, 2): 0.8}
(17, 1),S,{(17, 0): 1.0}
(17, 1),E,{(19, 1): 0.2, (18, 1): 0.8}
(17, 1),W,{(15, 1): 0.2, (16, 1): 0.8}
(5, 8),N,{(5, 10): 0.2, (5, 9): 0.8}
(5, 8),S,{(5, 6): 0.2, (5, 7): 0.8}
(5, 8),E,{(7, 8): 0.2, (6, 8): 0.8}
(5, 8),W,{(3, 8): 0.2, (4, 8): 0.8}
(17, 10),N,{(17, 12): 0.2, (17, 11): 0.8}
(17, 10),S,{(17, 8): 0.2, (17, 9): 0.8}
(17, 10),E,{(19, 10): 0.2, (18, 10): 0.8}
(17, 10),W,{(15, 10): 0.2, (16, 10): 0.8}
(9, 6),N,{(9, 8): 0.2, (9, 7): 0.8}
(9, 6),S,{(9, 4): 0.2, (9, 5): 0.8}
(9, 6),E,{(11, 6): 0.2, (10, 6): 0.8}
(9, 6),W,{(7, 6): 0.2, (8, 6): 0.8}
(5, 17),N,{(5, 19): 0.2, (5, 18): 0.8}
(5, 17),S,{(5, 15): 0.2, (5, 16): 0.8}
(5, 17),E,{(7, 17): 0.2, (6, 17): 0.8}
(5, 17),W,{(3, 17): 0.2, (4, 17): 0.8}
(17, 19),N,{(17, 20): 1.0}
(17, 19),S,{(17, 17): 0.2, (17, 18): 0.8}
(17, 19),E,{(19, 19): 0.2, (18, 19): 0.8}
(17, 19),W,{(15, 19): 0.2, (16, 19): 0.8}
(9, 15),N,{(9, 17): 0.2, (9, 16): 0.8}
(9, 15),S,{(9, 13): 0.2, (9, 14): 0.8}
(9, 15),E,{(11, 15): 0.2, (10, 15): 0.8}
(9, 15),W,{(7, 15): 0.2, (8, 15): 0.8}
(6, 0),N,{(6, 2): 0.2, (6, 1): 0.8}
(6, 0),E,{(8, 0): 0.2, (7, 0): 0.8}
(6, 0),W,{(4, 0): 0.2, (5, 0): 0.8}
(6, 0),S,{(6, 0): 1}
(6, 9),N,{(6, 11): 0.2, (6, 10): 0.8}
(6, 9),S,{(6, 7): 0.2, (6, 8): 0.8}
(6, 9),E,{(8, 9): 0.2, (7, 9): 0.8}
(6, 9),W,{(4, 9): 0.2, (5, 9): 0.8}
(6, 18),N,{(6, 20): 0.2, (6, 19): 0.8}
(6, 18),S,{(6, 16): 0.2, (6, 17): 0.8}
(6, 18),E,{(8, 18): 0.2, (7, 18): 0.8}
(6, 18),W,{(4, 18): 0.2, (5, 18): 0.8}
(20, 20),S,{(20, 18): 0.2, (20, 19): 0.8}
(20, 20),W,{(18, 20): 0.2, (19, 20): 0.8}
(20, 20),N,{(20, 20): 1}
(20, 20),E,{(20, 20): 1}
(10, 6),N,{(10, 8): 0.2, (10, 7): 0.8}
(10, 6),S,{(10, 4): 0.2, (10, 5): 0.8}
(10, 6),E,{(12, 6): 0.2, (11, 6): 0.8}
(10, 6),W,{(8, 6): 0.2, (9, 6): 0.8}
(2, 2),N,{(2, 4): 0.2, (2, 3): 0.8}
(2, 2),S,{(2, 0): 0.2, (2, 1): 0.8}
(2, 2),E,{(4, 2): 0.2, (3, 2): 0.8}
(2, 2),W,{(0, 2): 0.2, (1, 2): 0.8}
(2, 11),N,{(2, 13): 0.2, (2, 12): 0.8}
(2, 11),S,{(2, 9): 0.2, (2, 10): 0.8}
(2, 11),E,{(4, 11): 0.2, (3, 11): 0.8}
(2, 11),W,{(0, 11): 0.2, (1, 11): 0.8}
(13, 8),N,{(13, 10): 0.2, (13, 9): 0.8}
(13, 8),S,{(13, 6): 0.2, (13, 7): 0.8}
(13, 8),E,{(15, 8): 0.2, (14, 8): 0.8}
(13, 8),W,{(11, 8): 0.2, (12, 8): 0.8}
(1, 15),N,{(1, 17): 0.2, (1, 16): 0.8}
(1, 15),S,{(1, 13): 0.2, (1, 14): 0.8}
(1, 15),E,{(3, 15): 0.2, (2, 15): 0.8}
(1, 15),W,{(0, 15): 1.0}
(13, 17),N,{(13, 19): 0.2, (13, 18): 0.8}
(13, 17),S,{(13, 15): 0.2, (13, 16): 0.8}
(13, 17),E,{(15, 17): 0.2, (14, 17): 0.8}
(13, 17),W,{(11, 17): 0.2, (12, 17): 0.8}
(16, 13),N,{(16, 15): 0.2, (16, 14): 0.8}
(16, 13),S,{(16, 11): 0.2, (16, 12): 0.8}
(16, 13),E,{(18, 13): 0.2, (17, 13): 0.8}
(16, 13),W,{(14, 13): 0.2, (15, 13): 0.8}
(5, 3),N,{(5, 5): 0.2, (5, 4): 0.8}
(5, 3),S,{(5, 1): 0.2, (5, 2): 0.8}
(5, 3),E,{(7, 3): 0.2, (6, 3): 0.8}
(5, 3),W,{(3, 3): 0.2, (4, 3): 0.8}
(17, 5),N,{(17, 7): 0.2, (17, 6): 0.8}
(17, 5),S,{(17, 3): 0.2, (17, 4): 0.8}
(17, 5),E,{(19, 5): 0.2, (18, 5): 0.8}
(17, 5),W,{(15, 5): 0.2, (16, 5): 0.8}
(9, 1),N,{(9, 3): 0.2, (9, 2): 0.8}
(9, 1),S,{(9, 0): 1.0}
(9, 1),E,{(11, 1): 0.2, (10, 1): 0.8}
(9, 1),W,{(7, 1): 0.2, (8, 1): 0.8}
(5, 12),N,{(5, 14): 0.2, (5, 13): 0.8}
(5, 12),S,{(5, 10): 0.2, (5, 11): 0.8}
(5, 12),E,{(7, 12): 0.2, (6, 12): 0.8}
(5, 12),W,{(3, 12): 0.2, (4, 12): 0.8}
(17, 14),N,{(17, 16): 0.2, (17, 15): 0.8}
(17, 14),S,{(17, 12): 0.2, (17, 13): 0.8}
(17, 14),E,{(19, 14): 0.2, (18, 14): 0.8}
(17, 14),W,{(15, 14): 0.2, (16, 14): 0.8}
(9, 10),N,{(9, 12): 0.2, (9, 11): 0.8}
(9, 10),S,{(9, 8): 0.2, (9, 9): 0.8}
(9, 10),E,{(11, 10): 0.2, (10, 10): 0.8}
(9, 10),W,{(7, 10): 0.2, (8, 10): 0.8}
(9, 19),N,{(9, 20): 1.0}
(9, 19),S,{(9, 17): 0.2, (9, 18): 0.8}
(9, 19),E,{(11, 19): 0.2, (10, 19): 0.8}
(9, 19),W,{(7, 19): 0.2, (8, 19): 0.8}
(6, 4),N,{(6, 6): 0.2, (6, 5): 0.8}
(6, 4),S,{(6, 2): 0.2, (6, 3): 0.8}
(6, 4),E,{(8, 4): 0.2, (7, 4): 0.8}
(6, 4),W,{(4, 4): 0.2, (5, 4): 0.8}
(6, 13),N,{(6, 15): 0.2, (6, 14): 0.8}
(6, 13),S,{(6, 11): 0.2, (6, 12): 0.8}
(6, 13),E,{(8, 13): 0.2, (7, 13): 0.8}
