(26, 21),N,{(26, 23): 0.2, (26, 22): 0.8}
(37, 8),E,{(39, 8): 0.2, (38, 8): 0.8}
(37, 8),W,{(35, 8): 0.2, (36, 8): 0.8}
(3, 15),N,{(3, 17): 0.2, (3, 16): 0.8}
(3, 15),S,{(3, 13): 0.2, (3, 14): 0.8}
(3, 15),E,{(5, 15): 0.2, (4, 15): 0.8}
(3, 15),W,{(1, 15): 0.2, (2, 15): 0.8}
(22, 28),N,{(22, 30): 0.2, (22, 29): 0.8}
(22, 28),S,{(22, 26): 0.2, (22, 27): 0.8}
(22, 28),E,{(24, 28): 0.2, (23, 28): 0.8}
(22, 28),W,{(20, 28): 0.2, (21, 28): 0.8}
(14, 24),N,{(14, 26): 0.2, (14, 25): 0.8}
(14, 24),S,{(14, 22): 0.2, (14, 23): 0.8}
(14, 24),E,{(16, 24): 0.2, (15, 24): 0.8}
(14, 24),W,{(12, 24): 0.2, (13, 24): 0.8}
(46, 13),N,{(46, 15): 0.2, (46, 14): 0.8}
(46, 13),S,{(46, 11): 0.2, (46, 12): 0.8}
(46, 13),E,{(48, 13): 0.2, (47, 13): 0.8}
(46, 13),W,{(44, 13): 0.2, (45, 13): 0.8}
(38, 9),N,{(38, 11): 0.2, (38, 10): 0.8}
(38, 9),S,{(38, 7): 0.2, (38, 8): 0.8}
(38, 9),E,{(40, 9): 0.2, (39, 9): 0.8}
(38, 9),W,{(36, 9): 0.2, (37, 9): 0.8}
(49, 18),N,{(49, 20): 0.2, (49, 19): 0.8}
(49, 18),S,{(49, 16): 0.2, (49, 17): 0.8}
(49, 18),E,{(50, 18): 1.0}
(49, 18),W,{(47, 18): 0.2, (48, 18): 0.8}
(15, 25),N,{(15, 27): 0.2, (15, 26): 0.8}
(15, 25),S,{(15, 23): 0.2, (15, 24): 0.8}
(15, 25),E,{(17, 25): 0.2, (16, 25): 0.8}
(15, 25),W,{(13, 25): 0.2, (14, 25): 0.8}
(7, 21),N,{(7, 23): 0.2, (7, 22): 0.8}
(7, 21),S,{(7, 19): 0.2, (7, 20): 0.8}
(7, 21),E,{(9, 21): 0.2, (8, 21): 0.8}
(7, 21),W,{(5, 21): 0.2, (6, 21): 0.8}
(48, 22),N,{(48, 24): 0.2, (48, 23): 0.8}
(48, 22),S,{(48, 20): 0.2, (48, 21): 0.8}
(48, 22),E,{(50, 22): 0.2, (49, 22): 0.8}
(48, 22),W,{(46, 22): 0.2, (47, 22): 0.8}
(18, 30),N,{(18, 32): 0.2, (18, 31): 0.8}
(18, 30),S,{(18, 28): 0.2, (18, 29): 0.8}
(18, 30),E,{(20, 30): 0.2, (19, 30): 0.8}
(18, 30),W,{(16, 30): 0.2, (17, 30): 0.8}
(30, 4),N,{(30, 6): 0.2, (30, 5): 0.8}
(30, 4),S,{(30, 2): 0.2, (30, 3): 0.8}
(30, 4),E,{(32, 4): 0.2, (31, 4): 0.8}
(30, 4),W,{(28, 4): 0.2, (29, 4): 0.8}
(29, 45),S,{(29, 43): 0.2, (29, 44): 0.8}
(29, 45),E,{(31, 45): 0.2, (30, 45): 0.8}
(29, 45),W,{(27, 45): 0.2, (28, 45): 0.8}
(29, 45),N,{(29, 45): 1}
(21, 41),N,{(21, 43): 0.2, (21, 42): 0.8}
(21, 41),S,{(21, 39): 0.2, (21, 40): 0.8}
(21, 41),E,{(23, 41): 0.2, (22, 41): 0.8}
(21, 41),W,{(19, 41): 0.2, (20, 41): 0.8}
(41, 19),N,{(41, 21): 0.2, (41, 20): 0.8}
(41, 19),S,{(41, 17): 0.2, (41, 18): 0.8}
(41, 19),E,{(43, 19): 0.2, (42, 19): 0.8}
(41, 19),W,{(39, 19): 0.2, (40, 19): 0.8}
(33, 15),N,{(33, 17): 0.2, (33, 16): 0.8}
(33, 15),S,{(33, 13): 0.2, (33, 14): 0.8}
(33, 15),E,{(35, 15): 0.2, (34, 15): 0.8}
(33, 15),W,{(31, 15): 0.2, (32, 15): 0.8}
(25, 11),N,{(25, 13): 0.2, (25, 12): 0.8}
(25, 11),S,{(25, 9): 0.2, (25, 10): 0.8}
(25, 11),E,{(27, 11): 0.2, (26, 11): 0.8}
(25, 11),W,{(23, 11): 0.2, (24, 11): 0.8}
(44, 24),N,{(44, 26): 0.2, (44, 25): 0.8}
(44, 24),S,{(44, 22): 0.2, (44, 23): 0.8}
(44, 24),E,{(46, 24): 0.2, (45, 24): 0.8}
(44, 24),W,{(42, 24): 0.2, (43, 24): 0.8}
(10, 31),N,{(10, 33): 0.2, (10, 32): 0.8}
(10, 31),S,{(10, 29): 0.2, (10, 30): 0.8}
(10, 31),E,{(12, 31): 0.2, (11, 31): 0.8}
(10, 31),W,{(8, 31): 0.2, (9, 31): 0.8}
(2, 27),N,{(2, 29): 0.2, (2, 28): 0.8}
(2, 27),S,{(2, 25): 0.2, (2, 26): 0.8}
(2, 27),E,{(4, 27): 0.2, (3, 27): 0.8}
(2, 27),W,{(0, 27): 0.2, (1, 27): 0.8}
(22, 5),N,{(22, 7): 0.2, (22, 6): 0.8}
(22, 5),S,{(22, 3): 0.2, (22, 4): 0.8}
(22, 5),E,{(24, 5): 0.2, (23, 5): 0.8}
(22, 5),W,{(20, 5): 0.2, (21, 5): 0.8}
(14, 1),N,{(14, 3): 0.2, (14, 2): 0.8}
(14, 1),S,{(14, 0): 1.0}
(14, 1),E,{(16, 1): 0.2, (15, 1): 0.8}
(14, 1),W,{(12, 1): 0.2, (13, 1): 0.8}
(34, 16),N,{(34, 18): 0.2, (34, 17): 0.8}
(34, 16),S,{(34, 14): 0.2, (34, 15): 0.8}
(34, 16),E,{(36, 16): 0.2, (35, 16): 0.8}
(34, 16),W,{(32, 16): 0.2, (33, 16): 0.8}
(45, 25),N,{(45, 27): 0.2, (45, 26): 0.8}
(45, 25),S,{(45, 23): 0.2, (45, 24): 0.8}
(45, 25),E,{(47, 25): 0.2, (46, 25): 0.8}
(45, 25),W,{(43, 25): 0.2, (44, 25): 0.8}
(37, 21),N,{(37, 23): 0.2, (37, 22): 0.8}
(37, 21),S,{(37, 19): 0.2, (37, 20): 0.8}
(37, 21),E,{(39, 21): 0.2, (38, 21): 0.8}
(37, 21),W,{(35, 21): 0.2, (36, 21): 0.8}
(3, 28),N,{(3, 30): 0.2, (3, 29): 0.8}
(3, 28),S,{(3, 26): 0.2, (3, 27): 0.8}
(3, 28),E,{(5, 28): 0.2, (4, 28): 0.8}
(3, 28),W,{(1, 28): 0.2, (2, 28): 0.8}
(14, 37),N,{(14, 39): 0.2, (14, 38): 0.8}
(14, 37),S,{(14, 35): 0.2, (14, 36): 0.8}
(14, 37),E,{(16, 37): 0.2, (15, 37): 0.8}
(14, 37),W,{(12, 37): 0.2, (13, 37): 0.8}
(15, 2),N,{(15, 4): 0.2, (15, 3): 0.8}
(15, 2),S,{(15, 0): 0.2, (15, 1): 0.8}
(15, 2),E,{(17, 2): 0.2, (16, 2): 0.8}
(15, 2),W,{(13, 2): 0.2, (14, 2): 0.8}
(47, 34),N,{(47, 36): 0.2, (47, 35): 0.8}
(47, 34),S,{(47, 32): 0.2, (47, 33): 0.8}
(47, 34),E,{(49, 34): 0.2, (48, 34): 0.8}
(47, 34),W,{(45, 34): 0.2, (46, 34): 0.8}
(26, 11),N,{(26, 13): 0.2, (26, 12): 0.8}
(26, 11),S,{(26, 9): 0.2, (26, 10): 0.8}
(26, 11),E,{(28, 11): 0.2, (27, 11): 0.8}
(26, 11),W,{(24, 11): 0.2, (25, 11): 0.8}
(18, 7),N,{(18, 9): 0.2, (18, 8): 0.8}
(18, 7),S,{(18, 5): 0.2, (18, 6): 0.8}
(18, 7),E,{(20, 7): 0.2, (19, 7): 0.8}
(18, 7),W,{(16, 7): 0.2, (17, 7): 0.8}
(9, 44),N,{(9, 45): 1.0}
(9, 44),S,{(9, 42): 0.2, (9, 43): 0.8}
(9, 44),E,{(11, 44): 0.2, (10, 44): 0.8}
(9, 44),W,{(7, 44): 0.2, (8, 44): 0.8}
(29, 22),N,{(29, 24): 0.2, (29, 23): 0.8}
(29, 22),S,{(29, 20): 0.2, (29, 21): 0.8}
(29, 22),E,{(31, 22): 0.2, (30, 22): 0.8}
(29, 22),W,{(27, 22): 0.2, (28, 22): 0.8}
(48, 35),N,{(48, 37): 0.2, (48, 36): 0.8}
(48, 35),S,{(48, 33): 0.2, (48, 34): 0.8}
(48, 35),E,{(50, 35): 0.2, (49, 35): 0.8}
(48, 35),W,{(46, 35): 0.2, (47, 35): 0.8}
(21, 18),N,{(21, 20): 0.2, (21, 19): 0.8}
(21, 18),S,{(21, 16): 0.2, (21, 17): 0.8}
(21, 18),E,{(23, 18): 0.2, (22, 18): 0.8}
(21, 18),W,{(19, 18): 0.2, (20, 18): 0.8}
(40, 31),N,{(40, 33): 0.2, (40, 32): 0.8}
(40, 31),S,{(40, 29): 0.2, (40, 30): 0.8}
(40, 31),E,{(42, 31): 0.2, (41, 31): 0.8}
(40, 31),W,{(38, 31): 0.2, (39, 31): 0.8}
(6, 38),N,{(6, 40): 0.2, (6, 39): 0.8}
(6, 38),S,{(6, 36): 0.2, (6, 37): 0.8}
(6, 38),E,{(8, 38): 0.2, (7, 38): 0.8}
(6, 38),W,{(4, 38): 0.2, (5, 38): 0.8}
(11, 4),N,{(11, 6): 0.2, (11, 5): 0.8}
(11, 4),S,{(11, 2): 0.2, (11, 3): 0.8}
(11, 4),E,{(13, 4): 0.2, (12, 4): 0.8}
(11, 4),W,{(9, 4): 0.2, (10, 4): 0.8}
(44, 1),N,{(44, 3): 0.2, (44, 2): 0.8}
(44, 1),S,{(44, 0): 1.0}
(44, 1),E,{(46, 1): 0.2, (45, 1): 0.8}
(44, 1),W,{(42, 1): 0.2, (43, 1): 0.8}
(10, 8),N,{(10, 10): 0.2, (10, 9): 0.8}
(10, 8),S,{(10, 6): 0.2, (10, 7): 0.8}
(10, 8),E,{(12, 8): 0.2, (11, 8): 0.8}
(10, 8),W,{(8, 8): 0.2, (9, 8): 0.8}
(41, 32),N,{(41, 34): 0.2, (41, 33): 0.8}
(41, 32),S,{(41, 30): 0.2, (41, 31): 0.8}
(41, 32),E,{(43, 32): 0.2, (42, 32): 0.8}
(41, 32),W,{(39, 32): 0.2, (40, 32): 0.8}
(33, 28),N,{(33, 30): 0.2, (33, 29): 0.8}
(33, 28),S,{(33, 26): 0.2, (33, 27): 0.8}
(33, 28),E,{(35, 28): 0.2, (34, 28): 0.8}
(33, 28),W,{(31, 28): 0.2, (32, 28): 0.8}
(25, 24),N,{(25, 26): 0.2, (25, 25): 0.8}
(25, 24),S,{(25, 22): 0.2, (25, 23): 0.8}
(25, 24),E,{(27, 24): 0.2, (26, 24): 0.8}
(25, 24),W,{(23, 24): 0.2, (24, 24): 0.8}
(44, 37),N,{(44, 39): 0.2, (44, 38): 0.8}
(44, 37),S,{(44, 35): 0.2, (44, 36): 0.8}
(44, 37),E,{(46, 37): 0.2, (45, 37): 0.8}
(44, 37),W,{(42, 37): 0.2, (43, 37): 0.8}
(45, 2),N,{(45, 4): 0.2, (45, 3): 0.8}
(45, 2),S,{(45, 0): 0.2, (45, 1): 0.8}
(45, 2),E,{(47, 2): 0.2, (46, 2): 0.8}
(45, 2),W,{(43, 2): 0.2, (44, 2): 0.8}
(10, 44),N,{(10, 45): 1.0}
(10, 44),S,{(10, 42): 0.2, (10, 43): 0.8}
(10, 44),E,{(12, 44): 0.2, (11, 44): 0.8}
(10, 44),W,{(8, 44): 0.2, (9, 44): 0.8}
(2, 40),N,{(2, 42): 0.2, (2, 41): 0.8}
(2, 40),S,{(2, 38): 0.2, (2, 39): 0.8}
(2, 40),E,{(4, 40): 0.2, (3, 40): 0.8}
(2, 40),W,{(0, 40): 0.2, (1, 40): 0.8}
(3, 5),N,{(3, 7): 0.2, (3, 6): 0.8}
(3, 5),S,{(3, 3): 0.2, (3, 4): 0.8}
(3, 5),E,{(5, 5): 0.2, (4, 5): 0.8}
(3, 5),W,{(1, 5): 0.2, (2, 5): 0.8}
(43, 41),N,{(43, 43): 0.2, (43, 42): 0.8}
(43, 41),S,{(43, 39): 0.2, (43, 40): 0.8}
(43, 41),E,{(45, 41): 0.2, (44, 41): 0.8}
(43, 41),W,{(41, 41): 0.2, (42, 41): 0.8}
(22, 18),N,{(22, 20): 0.2, (22, 19): 0.8}
(22, 18),S,{(22, 16): 0.2, (22, 17): 0.8}
(22, 18),E,{(24, 18): 0.2, (23, 18): 0.8}
(22, 18),W,{(20, 18): 0.2, (21, 18): 0.8}
(14, 14),N,{(14, 16): 0.2, (14, 15): 0.8}
(14, 14),S,{(14, 12): 0.2, (14, 13): 0.8}
(14, 14),E,{(16, 14): 0.2, (15, 14): 0.8}
(14, 14),W,{(12, 14): 0.2, (13, 14): 0.8}
(17, 25),N,{(17, 27): 0.2, (17, 26): 0.8}
(17, 25),S,{(17, 23): 0.2, (17, 24): 0.8}
(17, 25),E,{(19, 25): 0.2, (18, 25): 0.8}
(17, 25),W,{(15, 25): 0.2, (16, 25): 0.8}
(36, 38),N,{(36, 40): 0.2, (36, 39): 0.8}
(36, 38),S,{(36, 36): 0.2, (36, 37): 0.8}
(36, 38),E,{(38, 38): 0.2, (37, 38): 0.8}
(36, 38),W,{(34, 38): 0.2, (35, 38): 0.8}
(28, 34),N,{(28, 36): 0.2, (28, 35): 0.8}
(28, 34),S,{(28, 32): 0.2, (28, 33): 0.8}
(28, 34),E,{(30, 34): 0.2, (29, 34): 0.8}
(28, 34),W,{(26, 34): 0.2, (27, 34): 0.8}
(7, 11),N,{(7, 13): 0.2, (7, 12): 0.8}
(7, 11),S,{(7, 9): 0.2, (7, 10): 0.8}
(7, 11),E,{(9, 11): 0.2, (8, 11): 0.8}
(7, 11),W,{(5, 11): 0.2, (6, 11): 0.8}
(48, 12),N,{(48, 14): 0.2, (48, 13): 0.8}
(48, 12),S,{(48, 10): 0.2, (48, 11): 0.8}
(48, 12),E,{(50, 12): 0.2, (49, 12): 0.8}
(48, 12),W,{(46, 12): 0.2, (47, 12): 0.8}
(40, 8),N,{(40, 10): 0.2, (40, 9): 0.8}
(40, 8),S,{(40, 6): 0.2, (40, 7): 0.8}
(40, 8),E,{(42, 8): 0.2, (41, 8): 0.8}
(40, 8),W,{(38, 8): 0.2, (39, 8): 0.8}
(6, 15),N,{(6, 17): 0.2, (6, 16): 0.8}
(6, 15),S,{(6, 13): 0.2, (6, 14): 0.8}
(6, 15),E,{(8, 15): 0.2, (7, 15): 0.8}
(6, 15),W,{(4, 15): 0.2, (5, 15): 0.8}
(29, 35),N,{(29, 37): 0.2, (29, 36): 0.8}
(29, 35),S,{(29, 33): 0.2, (29, 34): 0.8}
(29, 35),E,{(31, 35): 0.2, (30, 35): 0.8}
(29, 35),W,{(27, 35): 0.2, (28, 35): 0.8}
(21, 31),N,{(21, 33): 0.2, (21, 32): 0.8}
(21, 31),S,{(21, 29): 0.2, (21, 30): 0.8}
(21, 31),E,{(23, 31): 0.2, (22, 31): 0.8}
(21, 31),W,{(19, 31): 0.2, (20, 31): 0.8}
(40, 44),N,{(40, 45): 1.0}
(40, 44),S,{(40, 42): 0.2, (40, 43): 0.8}
(40, 44),E,{(42, 44): 0.2, (41, 44): 0.8}
(40, 44),W,{(38, 44): 0.2, (39, 44): 0.8}
(41, 9),N,{(41, 11): 0.2, (41, 10): 0.8}
(41, 9),S,{(41, 7): 0.2, (41, 8): 0.8}
(41, 9),E,{(43, 9): 0.2, (42, 9): 0.8}
(41, 9),W,{(39, 9): 0.2, (40, 9): 0.8}
(33, 5),N,{(33, 7): 0.2, (33, 6): 0.8}
(33, 5),S,{(33, 3): 0.2, (33, 4): 0.8}
(33, 5),E,{(35, 5): 0.2, (34, 5): 0.8}
(33, 5),W,{(31, 5): 0.2, (32, 5): 0.8}
(25, 1),N,{(25, 3): 0.2, (25, 2): 0.8}
(25, 1),S,{(25, 0): 1.0}
(25, 1),E,{(27, 1): 0.2, (26, 1): 0.8}
(25, 1),W,{(23, 1): 0.2, (24, 1): 0.8}
(44, 14),N,{(44, 16): 0.2, (44, 15): 0.8}
(44, 14),S,{(44, 12): 0.2, (44, 13): 0.8}
(44, 14),E,{(46, 14): 0.2, (45, 14): 0.8}
(44, 14),W,{(42, 14): 0.2, (43, 14): 0.8}
(10, 21),N,{(10, 23): 0.2, (10, 22): 0.8}
(10, 21),S,{(10, 19): 0.2, (10, 20): 0.8}
(10, 21),E,{(12, 21): 0.2, (11, 21): 0.8}
(10, 21),W,{(8, 21): 0.2, (9, 21): 0.8}
(2, 17),N,{(2, 19): 0.2, (2, 18): 0.8}
(2, 17),S,{(2, 15): 0.2, (2, 16): 0.8}
(2, 17),E,{(4, 17): 0.2, (3, 17): 0.8}
(2, 17),W,{(0, 17): 0.2, (1, 17): 0.8}
(34, 6),N,{(34, 8): 0.2, (34, 7): 0.8}
(34, 6),S,{(34, 4): 0.2, (34, 5): 0.8}
(34, 6),E,{(36, 6): 0.2, (35, 6): 0.8}
(34, 6),W,{(32, 6): 0.2, (33, 6): 0.8}
(13, 32),N,{(13, 34): 0.2, (13, 33): 0.8}
(13, 32),S,{(13, 30): 0.2, (13, 31): 0.8}
(13, 32),E,{(15, 32): 0.2, (14, 32): 0.8}
(13, 32),W,{(11, 32): 0.2, (12, 32): 0.8}
(32, 45),S,{(32, 43): 0.2, (32, 44): 0.8}
(32, 45),E,{(34, 45): 0.2, (33, 45): 0.8}
(32, 45),W,{(30, 45): 0.2, (31, 45): 0.8}
(32, 45),N,{(32, 45): 1}
(37, 11),N,{(37, 13): 0.2, (37, 12): 0.8}
(37, 11),S,{(37, 9): 0.2, (37, 10): 0.8}
(37, 11),E,{(39, 11): 0.2, (38, 11): 0.8}
(37, 11),W,{(35, 11): 0.2, (36, 11): 0.8}
(24, 41),N,{(24, 43): 0.2, (24, 42): 0.8}
(24, 41),S,{(24, 39): 0.2, (24, 40): 0.8}
(24, 41),E,{(26, 41): 0.2, (25, 41): 0.8}
(24, 41),W,{(22, 41): 0.2, (23, 41): 0.8}
(3, 18),N,{(3, 20): 0.2, (3, 19): 0.8}
(3, 18),S,{(3, 16): 0.2, (3, 17): 0.8}
(3, 18),E,{(5, 18): 0.2, (4, 18): 0.8}
(3, 18),W,{(1, 18): 0.2, (2, 18): 0.8}
(16, 37),N,{(16, 39): 0.2, (16, 38): 0.8}
(16, 37),S,{(16, 35): 0.2, (16, 36): 0.8}
(16, 37),E,{(18, 37): 0.2, (17, 37): 0.8}
(16, 37),W,{(14, 37): 0.2, (15, 37): 0.8}
(36, 15),N,{(36, 17): 0.2, (36, 16): 0.8}
(36, 15),S,{(36, 13): 0.2, (36, 14): 0.8}
(36, 15),E,{(38, 15): 0.2, (37, 15): 0.8}
(36, 15),W,{(34, 15): 0.2, (35, 15): 0.8}
(47, 24),N,{(47, 26): 0.2, (47, 25): 0.8}
(47, 24),S,{(47, 22): 0.2, (47, 23): 0.8}
(47, 24),E,{(49, 24): 0.2, (48, 24): 0.8}
(47, 24),W,{(45, 24): 0.2, (46, 24): 0.8}
(26, 1),N,{(26, 3): 0.2, (26, 2): 0.8}
(26, 1),S,{(26, 0): 1.0}
(26, 1),E,{(28, 1): 0.2, (27, 1): 0.8}
(26, 1),W,{(24, 1): 0.2, (25, 1): 0.8}
(5, 27),N,{(5, 29): 0.2, (5, 28): 0.8}
(5, 27),S,{(5, 25): 0.2, (5, 26): 0.8}
(5, 27),E,{(7, 27): 0.2, (6, 27): 0.8}
(5, 27),W,{(3, 27): 0.2, (4, 27): 0.8}
(17, 38),N,{(17, 40): 0.2, (17, 39): 0.8}
(17, 38),S,{(17, 36): 0.2, (17, 37): 0.8}
(17, 38),E,{(19, 38): 0.2, (18, 38): 0.8}
(17, 38),W,{(15, 38): 0.2, (16, 38): 0.8}
(9, 34),N,{(9, 36): 0.2, (9, 35): 0.8}
(9, 34),S,{(9, 32): 0.2, (9, 33): 0.8}
(9, 34),E,{(11, 34): 0.2, (10, 34): 0.8}
(9, 34),W,{(7, 34): 0.2, (8, 34): 0.8}
(29, 12),N,{(29, 14): 0.2, (29, 13): 0.8}
(29, 12),S,{(29, 10): 0.2, (29, 11): 0.8}
(29, 12),E,{(31, 12): 0.2, (30, 12): 0.8}
(29, 12),W,{(27, 12): 0.2, (28, 12): 0.8}
(48, 25),N,{(48, 27): 0.2, (48, 26): 0.8}
(48, 25),S,{(48, 23): 0.2, (48, 24): 0.8}
(48, 25),E,{(50, 25): 0.2, (49, 25): 0.8}
(48, 25),W,{(46, 25): 0.2, (47, 25): 0.8}
(21, 8),N,{(21, 10): 0.2, (21, 9): 0.8}
(21, 8),S,{(21, 6): 0.2, (21, 7): 0.8}
(21, 8),E,{(23, 8): 0.2, (22, 8): 0.8}
(21, 8),W,{(19, 8): 0.2, (20, 8): 0.8}
(40, 21),N,{(40, 23): 0.2, (40, 22): 0.8}
(40, 21),S,{(40, 19): 0.2, (40, 20): 0.8}
(40, 21),E,{(42, 21): 0.2, (41, 21): 0.8}
(40, 21),W,{(38, 21): 0.2, (39, 21): 0.8}
(6, 28),N,{(6, 30): 0.2, (6, 29): 0.8}
(6, 28),S,{(6, 26): 0.2, (6, 27): 0.8}
(6, 28),E,{(8, 28): 0.2, (7, 28): 0.8}
(6, 28),W,{(4, 28): 0.2, (5, 28): 0.8}
(33, 18),N,{(33, 20): 0.2, (33, 19): 0.8}
(33, 18),S,{(33, 16): 0.2, (33, 17): 0.8}
(33, 18),E,{(35, 18): 0.2, (34, 18): 0.8}
(33, 18),W,{(31, 18): 0.2, (32, 18): 0.8}
(25, 14),N,{(25, 16): 0.2, (25, 15): 0.8}
(25, 14),S,{(25, 12): 0.2, (25, 13): 0.8}
(25, 14),E,{(27, 14): 0.2, (26, 14): 0.8}
(25, 14),W,{(23, 14): 0.2, (24, 14): 0.8}
(12, 44),N,{(12, 45): 1.0}
(12, 44),S,{(12, 42): 0.2, (12, 43): 0.8}
(12, 44),E,{(14, 44): 0.2, (13, 44): 0.8}
(12, 44),W,{(10, 44): 0.2, (11, 44): 0.8}
(32, 22),N,{(32, 24): 0.2, (32, 23): 0.8}
(32, 22),S,{(32, 20): 0.2, (32, 21): 0.8}
(32, 22),E,{(34, 22): 0.2, (33, 22): 0.8}
(32, 22),W,{(30, 22): 0.2, (31, 22): 0.8}
(2, 30),N,{(2, 32): 0.2, (2, 31): 0.8}
(2, 30),S,{(2, 28): 0.2, (2, 29): 0.8}
(2, 30),E,{(4, 30): 0.2, (3, 30): 0.8}
(2, 30),W,{(0, 30): 0.2, (1, 30): 0.8}
(43, 31),N,{(43, 33): 0.2, (43, 32): 0.8}
(43, 31),S,{(43, 29): 0.2, (43, 30): 0.8}
(43, 31),E,{(45, 31): 0.2, (44, 31): 0.8}
(43, 31),W,{(41, 31): 0.2, (42, 31): 0.8}
(22, 8),N,{(22, 10): 0.2, (22, 9): 0.8}
(22, 8),S,{(22, 6): 0.2, (22, 7): 0.8}
(22, 8),E,{(24, 8): 0.2, (23, 8): 0.8}
(22, 8),W,{(20, 8): 0.2, (21, 8): 0.8}
(35, 27),N,{(35, 29): 0.2, (35, 28): 0.8}
(35, 27),S,{(35, 25): 0.2, (35, 26): 0.8}
(35, 27),E,{(37, 27): 0.2, (36, 27): 0.8}
(35, 27),W,{(33, 27): 0.2, (34, 27): 0.8}
(14, 4),N,{(14, 6): 0.2, (14, 5): 0.8}
(14, 4),S,{(14, 2): 0.2, (14, 3): 0.8}
(14, 4),E,{(16, 4): 0.2, (15, 4): 0.8}
(14, 4),W,{(12, 4): 0.2, (13, 4): 0.8}
(1, 34),N,{(1, 36): 0.2, (1, 35): 0.8}
